index,screen,png,jpg,deep_link
01,welcome,screens/01-welcome.png,screens/01-welcome.jpg,../../bitbt-wallet-ui-app.html?screen=welcome
02,onboarding,screens/02-onboarding.png,screens/02-onboarding.jpg,../../bitbt-wallet-ui-app.html?screen=onboarding
03,wallet,screens/03-wallet.png,screens/03-wallet.jpg,../../bitbt-wallet-ui-app.html?screen=wallet
04,market,screens/04-market.png,screens/04-market.jpg,../../bitbt-wallet-ui-app.html?screen=market
05,trade,screens/05-trade.png,screens/05-trade.jpg,../../bitbt-wallet-ui-app.html?screen=trade
06,assets,screens/06-assets.png,screens/06-assets.jpg,../../bitbt-wallet-ui-app.html?screen=assets
07,send,screens/07-send.png,screens/07-send.jpg,../../bitbt-wallet-ui-app.html?screen=send
08,receive,screens/08-receive.png,screens/08-receive.jpg,../../bitbt-wallet-ui-app.html?screen=receive
09,swap,screens/09-swap.png,screens/09-swap.jpg,../../bitbt-wallet-ui-app.html?screen=swap
10,meme,screens/10-meme.png,screens/10-meme.jpg,../../bitbt-wallet-ui-app.html?screen=meme
11,detail,screens/11-detail.png,screens/11-detail.jpg,../../bitbt-wallet-ui-app.html?screen=detail
12,create,screens/12-create.png,screens/12-create.jpg,../../bitbt-wallet-ui-app.html?screen=create
13,create-social,screens/13-create-social.png,screens/13-create-social.jpg,../../bitbt-wallet-ui-app.html?screen=create-social
14,create-review,screens/14-create-review.png,screens/14-create-review.jpg,../../bitbt-wallet-ui-app.html?screen=create-review
15,activity,screens/15-activity.png,screens/15-activity.jpg,../../bitbt-wallet-ui-app.html?screen=activity
16,nft,screens/16-nft.png,screens/16-nft.jpg,../../bitbt-wallet-ui-app.html?screen=nft
17,discover,screens/17-discover.png,screens/17-discover.jpg,../../bitbt-wallet-ui-app.html?screen=discover
18,profile,screens/18-profile.png,screens/18-profile.jpg,../../bitbt-wallet-ui-app.html?screen=profile
19,create-wallet,screens/19-create-wallet.png,screens/19-create-wallet.jpg,../../bitbt-wallet-ui-app.html?screen=create-wallet
20,biometric,screens/20-biometric.png,screens/20-biometric.jpg,../../bitbt-wallet-ui-app.html?screen=biometric
21,import-wallet,screens/21-import-wallet.png,screens/21-import-wallet.jpg,../../bitbt-wallet-ui-app.html?screen=import-wallet
22,backup-wallet,screens/22-backup-wallet.png,screens/22-backup-wallet.jpg,../../bitbt-wallet-ui-app.html?screen=backup-wallet
23,passcode,screens/23-passcode.png,screens/23-passcode.jpg,../../bitbt-wallet-ui-app.html?screen=passcode
24,seed-verify,screens/24-seed-verify.png,screens/24-seed-verify.jpg,../../bitbt-wallet-ui-app.html?screen=seed-verify
25,wallet-ready,screens/25-wallet-ready.png,screens/25-wallet-ready.jpg,../../bitbt-wallet-ui-app.html?screen=wallet-ready
26,hardware-wallet,screens/26-hardware-wallet.png,screens/26-hardware-wallet.jpg,../../bitbt-wallet-ui-app.html?screen=hardware-wallet
27,global-search,screens/27-global-search.png,screens/27-global-search.jpg,../../bitbt-wallet-ui-app.html?screen=global-search
28,network,screens/28-network.png,screens/28-network.jpg,../../bitbt-wallet-ui-app.html?screen=network
29,notifications,screens/29-notifications.png,screens/29-notifications.jpg,../../bitbt-wallet-ui-app.html?screen=notifications
30,scanner,screens/30-scanner.png,screens/30-scanner.jpg,../../bitbt-wallet-ui-app.html?screen=scanner
31,earn,screens/31-earn.png,screens/31-earn.jpg,../../bitbt-wallet-ui-app.html?screen=earn
32,defi-portfolio,screens/32-defi-portfolio.png,screens/32-defi-portfolio.jpg,../../bitbt-wallet-ui-app.html?screen=defi-portfolio
33,watchlist,screens/33-watchlist.png,screens/33-watchlist.jpg,../../bitbt-wallet-ui-app.html?screen=watchlist
34,market-pulse,screens/34-market-pulse.png,screens/34-market-pulse.jpg,../../bitbt-wallet-ui-app.html?screen=market-pulse
35,sector-detail,screens/35-sector-detail.png,screens/35-sector-detail.jpg,../../bitbt-wallet-ui-app.html?screen=sector-detail
36,price-alert,screens/36-price-alert.png,screens/36-price-alert.jpg,../../bitbt-wallet-ui-app.html?screen=price-alert
37,bridge,screens/37-bridge.png,screens/37-bridge.jpg,../../bitbt-wallet-ui-app.html?screen=bridge
